open,high,low,close,volume,shift
18.9,18.97,18.4,18.72,33221300,18.54
18.3,18.73,18.15,18.54,19833200,18.8
18.53,18.99,18.4,18.8,18669400,18.54
18.52,18.93,18.42,18.54,19525500,18.13
18.5,18.67,18.13,18.13,12618300,18.16
18.25,18.5,18.06,18.16,10661600,18.22
18.2,18.45,18.14,18.22,10619200,18.09
18.27,18.32,17.79,18.09,19894500,17.95
17.94,18.22,17.87,17.95,11527300,18.01
17.93,18.18,17.84,18.01,10399600,17.98
18.09,18.31,17.93,17.98,13235800,18.14
17.93,18.24,17.8,18.14,7267700,18.09
18.14,18.41,18.09,18.09,10901900,18.1
18.11,18.24,17.98,18.1,7829500,18.4
18.15,18.43,18.01,18.4,11533100,18.09
18.4,18.4,17.98,18.09,19220900,18.19
18.14,18.21,18.01,18.19,12542400,17.91
18.2,18.26,17.8,17.91,13421000,18.24
17.91,18.3,17.91,18.24,18909100,18.44
18.25,18.48,18.17,18.44,11821400,18.95
18.53,19.03,18.53,18.95,18154200,19.17
18.96,19.37,18.91,19.17,14105100,18.76
19.11,19.23,18.66,18.76,11819500,18.88
18.61,18.88,18.45,18.88,10207800,18.79
19.2,19.28,18.7,18.79,14222500,18.65
18.79,18.91,18.52,18.65,6060700,18.97
18.75,19.04,18.67,18.97,13425000,18.9
18.97,19,18.69,18.9,14857300,19.89
19.65,19.94,19.51,19.89,33018400,19.81
19.95,20.3,19.71,19.81,16957600,19.7
19.66,19.79,19.56,19.7,12735500,19.41
19.7,19.79,19.24,19.41,13097000,19.45
19.45,19.71,19.36,19.45,9239500,19.29
19.23,19.44,19.21,19.29,8622900,19.3
19.38,19.58,19.21,19.3,13678100,19.3
19.35,19.41,19.17,19.3,6294000,19.17
19.3,19.34,19.06,19.17,13938300,19.16
19.12,19.33,19.02,19.16,21103100,19.27
19.12,19.44,19.1,19.27,14281200,18.91
19.16,19.22,18.89,18.91,18859500,19.14
18.83,19.21,18.7,19.14,10296100,19.41
19.27,19.46,19.1,19.41,19984800,19.42
19.2,19.59,19.2,19.42,17937200,19.01
19.34,19.43,18.97,19.01,10572200,19.18
18.95,19.3,18.57,19.18,20296100,19.15
19.05,19.26,18.92,19.15,13211200,18.98
19.03,19.28,18.85,18.98,11026000,18.9
18.98,19.04,18.76,18.9,11038400,18.94
18.93,19.16,18.75,18.94,14940500,19.07
18.96,19.16,18.94,19.07,13883500,19.13
19.1,19.26,19.03,19.13,14925800,19.1
19.13,19.15,19,19.1,11743900,19.25
19.12,19.47,19.08,19.25,12800500,19
19.15,19.23,18.73,19,17970400,18.85
18.96,19.04,18.68,18.85,26599700,18.63
18.9,18.92,18.54,18.63,4957400,18.01
18.64,18.65,18.01,18.01,19333000,18.14
18.01,18.35,18,18.14,15753600,18.32
18.25,18.47,17.98,18.32,16014900,18.29
18.32,18.45,18.19,18.29,11811000,18.19
18.15,18.24,17.89,18.19,14208200,18.45
18.21,18.57,18.13,18.45,14051800,18.33
18.38,18.51,18.21,18.33,10910900,18.23
18.26,18.45,18.07,18.23,10240800,18.36
18.15,18.41,18.14,18.36,15679600,18.79
18.28,18.96,18.28,18.79,14821100,18.79
